timestamps,value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
1416722400,-10.73396504,0,0,0,-10.73396504,0,0,0
1416726000,65.43623544,0,0,0,3.963116731,48.05,12.29390464,1.129214067
1416729600,132.1809991,0,0,0,22.94910901,83.2250413,23.75,2.256848826
1416733200,114.3184898,0,0,0,-18.75040949,96.1,33.58757211,3.381327178
1416736800,129.0187685,0,0,0,0.156444107,83.2250413,41.13620668,4.501076439
1416740400,136.665065,0,0,0,37.11905771,48.05,45.88147675,5.614530536
1416744000,52.1587081,0,0,0,-2.061424106,1.18E-14,47.5,6.720132205
1416747600,-19.01273683,0,0,0,-24.66054874,-48.05,45.88147675,7.816335162
1416751200,-276.1901263,1,0,0,6.585986261,-83.2250413,41.13620668,8.901606267
1416754800,-36.68594698,0,0,0,15.85205325,-96.1,33.58757211,9.974427671
1416758400,-74.82669235,0,0,0,-26.38494998,-83.2250413,23.75,11.03329894
1416762000,-27.4900425,0,0,0,-3.810686275,-48.05,12.29390464,12.07673913
1416765600,37.00298238,0,0,0,23.89969346,-2.35E-14,5.82E-15,13.10328892
1416769200,53.11109208,0,0,0,3.243484146,48.05,-12.29390464,14.11151257
1416772800,60.57654091,0,0,0,-13.99850039,83.2250413,-23.75,15.1
1416776400,81.12206852,0,0,0,2.54227192,96.1,-33.58757211,16.06736871
1416780000,75.8670171,0,0,0,16.76591672,83.2250413,-41.13620668,17.01226575
1416783600,-12.70141137,0,0,0,-32.80330423,48.05,-45.88147675,17.9333696
1416787200,-30.62650997,0,0,0,-1.955901988,3.53E-14,-47.5,18.82939202
1416790800,-67.51724918,0,0,0,6.715147747,-48.05,-45.88147675,19.69907982
1416794400,-118.2140366,0,0,0,-14.39400528,-83.2250413,-41.13620668,20.54121668
1416798000,-107.1353538,0,0,0,1.197593498,-96.1,-33.58757211,21.35462479
1416801600,-80.59352671,0,0,0,4.243348063,-83.2250413,-23.75,22.13816653
1416805200,-18.63134784,0,0,0,18.82181076,-48.05,-12.29390464,22.89074604
1416808800,4.693365719,0,0,0,-18.91794505,-4.71E-14,-1.16E-14,23.61131077
1416812400,100.2174587,0,0,0,15.57470107,48.05,12.29390464,24.29885295
1416816000,149.6695263,0,0,0,17.74207406,83.2250413,23.75,24.95241098
1416819600,159.188599,0,0,0,3.929956042,96.1,33.58757211,25.57107082
1416823200,157.1026587,0,0,0,6.587443473,83.2250413,41.13620668,26.15396719
1416826800,132.8847411,0,0,0,12.25297945,48.05,45.88147675,26.70028488
1416830400,83.50102356,0,0,0,8.791763751,2.30E-13,47.5,27.20925981
1416834000,44.6466125,0,0,0,19.13495562,-48.05,45.88147675,27.68018013
1416837600,-24.80870125,0,0,0,-10.83225384,-83.2250413,41.13620668,28.11238721
1416841200,-34.42457869,0,0,0,-0.417427375,-96.1,33.58757211,28.50527658
1416844800,-19.44152646,0,0,0,11.17521611,-83.2250413,23.75,28.85829873
1416848400,-2.059242867,0,0,0,4.525892537,-48.05,12.29390464,29.17095995
1416852000,22.52213509,0,0,0,-6.920687859,-7.06E-14,1.75E-14,29.44282295
1416855600,78.18435356,0,0,0,12.75475071,48.05,-12.29390464,29.67350749
1416859200,89.54318689,0,0,0,0.205454635,83.2250413,-23.75,29.86269095
1416862800,84.58233887,0,0,0,-7.940197761,96.1,-33.58757211,30.01010874
1416866400,85.79235185,0,0,0,13.58796255,83.2250413,-41.13620668,30.11555467
1416870000,13.84405624,0,0,0,-18.5033483,48.05,-45.88147675,30.17888128
1416873600,-17.33866059,0,0,0,-0.038660592,8.24E-14,-47.5,30.2
1416877200,-63.71624188,0,0,0,0.036353586,-48.05,-45.88147675,30.17888128
1416880800,-122.7816988,0,0,0,-28.53600546,-83.2250413,-41.13620668,30.11555467
1416884400,-77.10171141,0,0,0,22.57575196,-96.1,-33.58757211,30.01010874
1416888000,-70.76165868,0,0,0,6.350691675,-83.2250413,-23.75,29.86269095
1416891600,-44.43276845,0,0,0,-13.7623713,-48.05,-12.29390464,29.67350749
1416895200,0.774917589,0,0,0,-28.66790536,-9.42E-14,-2.33E-14,29.44282295
1416898800,105.0573675,0,0,0,15.54250289,48.05,12.29390464,29.17095995
1416902400,138.0544431,0,0,0,2.221103042,83.2250413,23.75,28.85829873
1416906000,156.3551572,0,0,0,-1.837691469,96.1,33.58757211,28.50527658
1416909600,141.3039555,0,0,0,-11.16967974,83.2250413,41.13620668,28.11238721
1416913200,127.7069241,0,0,0,6.095267183,48.05,45.88147675,27.68018013
1416916800,81.38081313,0,0,0,6.671553319,1.06E-13,47.5,27.20925981
1416920400,33.21264808,0,0,0,8.68088645,-48.05,45.88147675,26.70028488
1416924000,-35.45920743,0,0,0,-19.52434,-83.2250413,41.13620668,26.15396719
